episode,reward,length,key_picked,door_opened,goal_reached
810,2.02,8,True,True,True
811,2.06,7,True,True,True
812,1.98,10,True,True,True
813,0.7,46,True,True,True
814,0.32,50,True,False,False
815,2.02,8,True,True,True
816,1.9,12,True,True,True
817,1.98,11,True,True,True
818,0.58,50,True,True,False
819,2.02,8,True,True,True
820,2.06,7,True,True,True
821,2.02,8,True,True,True
822,1.9,14,True,True,True
823,2.0,9,True,True,True
824,2.02,8,True,True,True
825,2.06,7,True,True,True
826,1.42,33,True,True,True
827,-0.64,50,False,False,False
828,-0.24,50,True,False,False
829,-0.58,50,False,False,False
830,1.52,30,True,True,True
831,1.86,14,True,True,True
832,2.06,7,True,True,True
833,1.94,10,True,True,True
834,1.98,11,True,True,True
835,1.86,13,True,True,True
836,0.08,50,True,False,False
837,-0.7,50,False,False,False
838,0.98,50,True,True,False
839,1.94,13,True,True,True
840,2.04,8,True,True,True
841,-0.84,50,False,False,False
842,1.74,19,True,True,True
843,1.98,11,True,True,True
844,1.86,13,True,True,True
845,-0.04,50,True,False,False
846,1.78,19,True,True,True
847,2.06,7,True,True,True
848,1.98,10,True,True,True
849,1.82,15,True,True,True
850,1.98,10,True,True,True
851,0.88,50,True,True,False
852,2.02,8,True,True,True
853,2.06,7,True,True,True
854,1.28,32,True,True,True
855,0.84,50,True,True,False
856,1.98,11,True,True,True
857,2.02,8,True,True,True
858,2.06,7,True,True,True
859,-0.86,50,False,False,False
860,2.0,10,True,True,True
861,1.92,13,True,True,True
862,-0.04,50,True,False,False
863,0.92,50,True,True,False
864,2.02,8,True,True,True
865,1.18,43,True,True,True
866,1.78,19,True,True,True
867,0.8,50,True,True,False
868,1.26,39,True,True,True
869,2.06,7,True,True,True
870,1.44,34,True,True,True
871,0.9,50,True,True,False
872,0.14,50,True,False,False
873,2.02,9,True,True,True
874,2.0,9,True,True,True
875,1.88,15,True,True,True
876,0.98,44,True,True,True
877,1.9,13,True,True,True
878,0.86,50,True,True,False
879,1.3,29,True,True,True
880,1.96,10,True,True,True
881,0.32,50,True,True,False
882,1.74,20,True,True,True
883,2.02,8,True,True,True
884,-0.78,50,False,False,False
885,1.14,45,True,True,True
886,2.06,7,True,True,True
887,1.98,11,True,True,True
888,1.58,24,True,True,True
889,1.96,12,True,True,True
890,2.02,8,True,True,True
891,2.06,7,True,True,True
892,2.06,7,True,True,True
893,1.94,10,True,True,True
894,2.02,8,True,True,True
895,1.38,39,True,True,True
896,1.96,11,True,True,True
897,2.02,8,True,True,True
898,1.4,38,True,True,True
899,1.9,12,True,True,True
900,1.94,11,True,True,True
901,2.02,8,True,True,True
902,2.02,9,True,True,True
903,1.7,22,True,True,True
904,0.86,50,True,True,False
905,1.98,10,True,True,True
906,1.98,11,True,True,True
907,2.02,9,True,True,True
908,2.06,7,True,True,True
909,1.98,11,True,True,True
910,0.82,50,True,True,False
911,1.98,10,True,True,True
912,2.02,8,True,True,True
913,2.02,8,True,True,True
914,-0.64,50,False,False,False
915,1.94,11,True,True,True
916,0.14,50,True,False,False
917,1.82,15,True,True,True
918,1.78,19,True,True,True
919,0.96,40,True,True,True
920,2.0,10,True,True,True
921,-0.78,50,False,False,False
922,2.02,9,True,True,True
923,1.98,9,True,True,True
924,1.9,12,True,True,True
925,1.86,13,True,True,True
926,1.82,15,True,True,True
927,1.56,27,True,True,True
928,-0.68,50,False,False,False
929,-0.2,50,True,False,False
930,1.16,35,True,True,True
931,2.06,7,True,True,True
932,1.86,16,True,True,True
933,0.68,50,True,True,False
934,1.54,30,True,True,True
935,1.62,28,True,True,True
936,1.66,19,True,True,True
937,1.28,30,True,True,True
938,1.78,17,True,True,True
939,2.02,8,True,True,True
940,0.84,50,True,True,False
941,0.82,43,True,True,True
942,1.12,47,True,True,True
943,2.06,7,True,True,True
944,1.7,19,True,True,True
945,1.98,9,True,True,True
946,2.0,9,True,True,True
947,0.14,50,True,False,False
948,-0.74,50,False,False,False
949,-0.7,50,False,False,False
950,2.06,7,True,True,True
951,1.2,45,True,True,True
952,1.94,12,True,True,True
953,2.06,7,True,True,True
954,2.02,9,True,True,True
955,0.94,49,True,True,True
956,1.96,10,True,True,True
957,2.02,9,True,True,True
958,2.0,10,True,True,True
959,0.16,50,True,False,False
960,1.9,13,True,True,True
961,1.96,12,True,True,True
962,2.02,9,True,True,True
963,2.04,8,True,True,True
964,2.02,8,True,True,True
965,2.02,8,True,True,True
966,1.82,18,True,True,True
967,0.74,50,True,True,False
968,-0.12,50,True,False,False
969,0.82,50,True,True,False
970,0.92,50,True,True,False
971,1.98,9,True,True,True
972,0.72,50,True,True,False
973,2.02,8,True,True,True
974,2.06,7,True,True,True
975,0.62,48,True,True,True
976,1.86,15,True,True,True
977,2.02,8,True,True,True
978,0.84,45,True,True,True
979,2.06,7,True,True,True
980,1.82,13,True,True,True
981,2.06,7,True,True,True
982,0.76,49,True,True,True
983,2.02,8,True,True,True
984,2.06,7,True,True,True
985,-0.78,50,False,False,False
986,2.06,7,True,True,True
987,1.98,10,True,True,True
988,1.08,49,True,True,True
989,1.96,10,True,True,True
990,1.1,40,True,True,True
991,1.48,23,True,True,True
992,1.9,12,True,True,True
993,1.98,11,True,True,True
994,2.06,7,True,True,True
995,1.98,10,True,True,True
996,2.02,8,True,True,True
997,1.2,38,True,True,True
998,2.06,7,True,True,True
999,2.04,8,True,True,True
1000,2.02,8,True,True,True
